River_Sta,River,Reach,Gage,date,Event,Run_type,Run_num,Type,value
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 9:00,2001,Calibration,1,WS_Elev,573.6690674
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 9:00,2001,Calibration,1,Model_Q,59565.54688
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 10:00,2001,Calibration,1,WS_Elev,573.6868286
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 10:00,2001,Calibration,1,Model_Q,59662.96484
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 11:00,2001,Calibration,1,WS_Elev,573.7029419
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 11:00,2001,Calibration,1,Model_Q,59720.39844
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 12:00,2001,Calibration,1,WS_Elev,573.7167969
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 12:00,2001,Calibration,1,Obs_WS,573.5599976
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 12:00,2001,Calibration,1,Model_Q,59780.02734
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 13:00,2001,Calibration,1,WS_Elev,573.7345581
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 13:00,2001,Calibration,1,Model_Q,60035.88281
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 14:00,2001,Calibration,1,WS_Elev,573.7455444
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 14:00,2001,Calibration,1,Model_Q,60458.11719
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 15:00,2001,Calibration,1,WS_Elev,573.7518921
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 15:00,2001,Calibration,1,Model_Q,60646.5
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 16:00,2001,Calibration,1,WS_Elev,573.7572021
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 16:00,2001,Calibration,1,Model_Q,60723.18359
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 17:00,2001,Calibration,1,WS_Elev,573.7615356
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 17:00,2001,Calibration,1,Model_Q,60765.47656
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 18:00,2001,Calibration,1,WS_Elev,573.7653809
